domainName,idKab,idParent,idPro,idWilayah,kodeKab,kodeKec,kodeKel,kodePro,namaKab,namaPro,namaWilayah,tingkatWilayah
grobogankab,37214,32676,32676,37214,3315,331500,3315000000,33,GROBOGAN,JAWA TENGAH,GROBOGAN,2
blorakab,37514,32676,32676,37514,3316,331600,3316000000,33,BLORA,JAWA TENGAH,BLORA,2
rembangkab,37826,32676,32676,37826,3317,331700,3317000000,33,REMBANG,JAWA TENGAH,REMBANG,2
patikab,38136,32676,32676,38136,3318,331800,3318000000,33,PATI,JAWA TENGAH,PATI,2
kuduskab,38564,32676,32676,38564,3319,331900,3319000000,33,KUDUS,JAWA TENGAH,KUDUS,2
jeparakab,38706,32676,32676,38706,3320,332000,3320000000,33,JEPARA,JAWA TENGAH,JEPARA,2
demakkab,38917,32676,32676,38917,3321,332100,3321000000,33,DEMAK,JAWA TENGAH,DEMAK,2
semarangkab,39181,32676,32676,39181,3322,332200,3322000000,33,SEMARANG,JAWA TENGAH,SEMARANG,2
temanggungkab,39436,32676,32676,39436,3323,332300,3323000000,33,TEMANGGUNG,JAWA TENGAH,TEMANGGUNG,2
kendalkab,39746,32676,32676,39746,3324,332400,3324000000,33,KENDAL,JAWA TENGAH,KENDAL,2
batangkab,40053,32676,32676,40053,3325,332500,3325000000,33,BATANG,JAWA TENGAH,BATANG,2
pekalongankab,40317,32676,32676,40317,3326,332600,3326000000,33,PEKALONGAN,JAWA TENGAH,PEKALONGAN,2
pemalangkab,40622,32676,32676,40622,3327,332700,3327000000,33,PEMALANG,JAWA TENGAH,PEMALANG,2
tegalkab,40859,32676,32676,40859,3328,332800,3328000000,33,TEGAL,JAWA TENGAH,TEGAL,2
