domainName,idKab,idParent,idPro,idWilayah_1,kodeKab,kodeKec,kodeKel,kodePro,namaKab,namaPro,namaWilayah,tingkatWilayah,alokasiKursi,alokasiSisaKursi,createdAt,createdBy,id,idVersi,idWilayah,jumlahPenduduk,nama,noDapil,parent,peringkatPenduduk,sisaPenduduk,statusCoterminous,tingkat,totalAlokasiKursi,updatedAt,updatedBy
bireuenkab,4362,1,1,4362,1111,111100,1111000000,11,BIREUEN,ACEH,BIREUEN,2,5,1,"Dec 31, 2017 3:55:21 PM",vici,5588,1352,4362,64163,BIREUEN 5,5,-1,1,10058,False,2,6,"Dec 31, 2017 2:29:44 PM",hafizh
bireuenkab,4362,1,1,4362,1111,111100,1111000000,11,BIREUEN,ACEH,BIREUEN,2,6,0,"Dec 31, 2017 3:55:21 PM",vici,5589,1352,4362,69047,BIREUEN 6,6,-1,4,4121,False,2,6,"Dec 31, 2017 2:29:44 PM",hafizh
acehbaratdayakab,4989,1,1,4989,1112,111200,1112000000,11,ACEH BARAT DAYA,ACEH,ACEH BARAT DAYA,2,9,1,"Dec 31, 2017 3:24:56 PM",vici,5557,1346,4989,58044,ACEH BARAT DAYA 1,1,-1,2,4521,False,2,10,"Dec 31, 2017 10:13:56 AM",hafizh
acehbaratdayakab,4989,1,1,4989,1112,111200,1112000000,11,ACEH BARAT DAYA,ACEH,ACEH BARAT DAYA,2,8,0,"Dec 31, 2017 3:24:56 PM",vici,5558,1346,4989,49033,ACEH BARAT DAYA 2,2,-1,3,1457,False,2,8,"Dec 31, 2017 10:13:56 AM",hafizh
acehbaratdayakab,4989,1,1,4989,1112,111200,1112000000,11,ACEH BARAT DAYA,ACEH,ACEH BARAT DAYA,2,6,1,"Dec 31, 2017 3:24:56 PM",vici,5559,1346,4989,41610,ACEH BARAT DAYA 3,3,-1,1,5928,False,2,7,"Dec 31, 2017 10:13:56 AM",hafizh
gayolueskab,5138,1,1,5138,1113,111300,1113000000,11,GAYO LUES,ACEH,GAYO LUES,2,9,0,"Dec 31, 2017 2:31:29 PM",hafizh,2827,760,5138,43945,GAYO LUES 1,1,-1,2,1033,False,2,9,"Dec 31, 2017 2:31:29 PM",hafizh
gayolueskab,5138,1,1,5138,1113,111300,1113000000,11,GAYO LUES,ACEH,GAYO LUES,2,6,1,"Dec 31, 2017 2:31:29 PM",hafizh,2828,760,5138,31449,GAYO LUES 2,2,-1,1,2841,False,2,7,"Dec 31, 2017 2:31:29 PM",hafizh
gayolueskab,5138,1,1,5138,1113,111300,1113000000,11,GAYO LUES,ACEH,GAYO LUES,2,4,0,"Dec 31, 2017 2:31:29 PM",hafizh,2829,760,5138,19976,GAYO LUES 3,3,-1,3,904,False,2,4,"Dec 31, 2017 2:31:29 PM",hafizh
acehjayakab,5286,1,1,5286,1114,111400,1114000000,11,ACEH JAYA,ACEH,ACEH JAYA,2,5,1,"Dec 31, 2017 2:55:03 PM",vici,5541,1342,5286,23659,ACEH JAYA 1,1,-1,2,2149,False,2,6,"Dec 31, 2017 6:07:50 PM",galuh
acehjayakab,5286,1,1,5286,1114,111400,1114000000,11,ACEH JAYA,ACEH,ACEH JAYA,2,4,0,"Dec 31, 2017 2:55:03 PM",vici,5542,1342,5286,19061,ACEH JAYA 2,2,-1,3,1853,False,2,4,"Dec 31, 2017 6:07:50 PM",galuh
