idPro,namaPro,idKab,namaKab,totalAlokasiKursi
55065,NUSA TENGGARA TIMUR,58219,SABU RAIJUA,20
55065,NUSA TENGGARA TIMUR,928072,MALAKA,25
58285,KALIMANTAN BARAT,58286,SAMBAS,45
58285,KALIMANTAN BARAT,58490,MEMPAWAH,35
58285,KALIMANTAN BARAT,58567,SANGGAU,40
58285,KALIMANTAN BARAT,58749,KETAPANG,45
58285,KALIMANTAN BARAT,59018,SINTANG,40
58285,KALIMANTAN BARAT,59320,KAPUAS HULU,30
58285,KALIMANTAN BARAT,59557,BENGKAYANG,30
58285,KALIMANTAN BARAT,59699,LANDAK,35
58285,KALIMANTAN BARAT,59869,SEKADAU,30
58285,KALIMANTAN BARAT,59953,MELAWI,30
58285,KALIMANTAN BARAT,60134,KAYONG UTARA,25
58285,KALIMANTAN BARAT,60183,KOTA PONTIANAK,45
58285,KALIMANTAN BARAT,60223,KOTA SINGKAWANG,30
58285,KALIMANTAN BARAT,60255,KUBU RAYA,45
60371,KALIMANTAN TENGAH,60372,KOTAWARINGIN BARAT,30
60371,KALIMANTAN TENGAH,60468,KOTAWARINGIN TIMUR,40
60371,KALIMANTAN TENGAH,60653,KAPUAS,40
60371,KALIMANTAN TENGAH,60867,BARITO SELATAN,25
60371,KALIMANTAN TENGAH,60967,BARITO UTARA,25
60371,KALIMANTAN TENGAH,61077,KATINGAN,25
60371,KALIMANTAN TENGAH,61251,SERUYAN,25
60371,KALIMANTAN TENGAH,61362,SUKAMARA,20
60371,KALIMANTAN TENGAH,61400,LAMANDAU,20
60371,KALIMANTAN TENGAH,61492,GUNUNG MAS,25
60371,KALIMANTAN TENGAH,61614,PULANG PISAU,25
60371,KALIMANTAN TENGAH,61711,MURUNG RAYA,25
60371,KALIMANTAN TENGAH,61846,BARITO TIMUR,25
60371,KALIMANTAN TENGAH,61929,KOTA PALANGKARAYA,30
61965,KALIMANTAN SELATAN,61966,TANAH LAUT,35
61965,KALIMANTAN SELATAN,62112,KOTABARU,35
61965,KALIMANTAN SELATAN,62333,BANJAR,45
61965,KALIMANTAN SELATAN,62643,BARITO KUALA,35
61965,KALIMANTAN SELATAN,62861,TAPIN,25
61965,KALIMANTAN SELATAN,63007,HULU SUNGAI SELATAN,30
61965,KALIMANTAN SELATAN,63167,HULU SUNGAI TENGAH,30
61965,KALIMANTAN SELATAN,63348,HULU SUNGAI UTARA,30
61965,KALIMANTAN SELATAN,63578,TABALONG,30
61965,KALIMANTAN SELATAN,63722,TANAH BUMBU,35
61965,KALIMANTAN SELATAN,63866,BALANGAN,25
61965,KALIMANTAN SELATAN,64027,KOTA BANJARMASIN,45
61965,KALIMANTAN SELATAN,64085,KOTA BANJARBARU,30
64111,KALIMANTAN TIMUR,64112,PASER,30
64111,KALIMANTAN TIMUR,64248,KUTAI KARTANEGARA,45
64111,KALIMANTAN TIMUR,64496,BERAU,30
64111,KALIMANTAN TIMUR,65069,KUTAI BARAT,25
64111,KALIMANTAN TIMUR,65315,KUTAI TIMUR,40
64111,KALIMANTAN TIMUR,65469,PENAJAM PASER UTARA,25
64111,KALIMANTAN TIMUR,65528,KOTA BALIKPAPAN,45
64111,KALIMANTAN TIMUR,65567,KOTA SAMARINDA,45
64111,KALIMANTAN TIMUR,65656,KOTA BONTANG,25
64111,KALIMANTAN TIMUR,928073,MAHAKAM ULU,20
65702,SULAWESI UTARA,65703,BOLAANG MONGONDOW TIMUR,20
65702,SULAWESI UTARA,65760,BOLAANG MONGONDOW SELATAN,20
65702,SULAWESI UTARA,65822,BOLAANG MONGONDOW,30
65702,SULAWESI UTARA,65974,MINAHASA,35
65702,SULAWESI UTARA,66188,KEPULAUAN SANGIHE,25
65702,SULAWESI UTARA,66371,KEPULAUAN TALAUD,25
65702,SULAWESI UTARA,66544,MINAHASA SELATAN,30
65702,SULAWESI UTARA,66718,MINAHASA UTARA,30
65702,SULAWESI UTARA,66853,MINAHASA TENGGARA,25
65702,SULAWESI UTARA,66936,BOLAANG MONGONDOW UTARA,20
65702,SULAWESI UTARA,67035,KEP. SIAU TAGULANDANG BIARO,20
65702,SULAWESI UTARA,67130,KOTA MANADO,40
65702,SULAWESI UTARA,67227,KOTA BITUNG,30
65702,SULAWESI UTARA,67305,KOTA TOMOHON,20
65702,SULAWESI UTARA,67355,KOTA KOTAMOBAGU,25
67393,SULAWESI TENGAH,67394,SIGI,30
67393,SULAWESI TENGAH,67558,BANGGAI,35
67393,SULAWESI TENGAH,67866,POSO,30
67393,SULAWESI TENGAH,68041,DONGGALA,30
67393,SULAWESI TENGAH,68206,TOLITOLI,30
67393,SULAWESI TENGAH,68309,BUOL,25
67393,SULAWESI TENGAH,68428,MOROWALI,25
67393,SULAWESI TENGAH,68681,BANGGAI KEPULAUAN,25
67393,SULAWESI TENGAH,68887,PARIGI MOUTONG,40
67393,SULAWESI TENGAH,69089,TOJO UNA-UNA,25
67393,SULAWESI TENGAH,69220,KOTA PALU,35
67393,SULAWESI TENGAH,928074,BANGGAI LAUT,20
67393,SULAWESI TENGAH,928075,MOROWALI UTARA,25
69268,SULAWESI SELATAN,69269,TORAJA UTARA,30
69268,SULAWESI SELATAN,69442,KEPULAUAN SELAYAR,25
69268,SULAWESI SELATAN,69531,BULUKUMBA,40
69268,SULAWESI SELATAN,69668,BANTAENG,25
69268,SULAWESI SELATAN,69744,JENEPONTO,40
69268,SULAWESI SELATAN,69869,TAKALAR,30
69268,SULAWESI SELATAN,69962,GOWA,45
69268,SULAWESI SELATAN,70149,SINJAI,30
69268,SULAWESI SELATAN,70239,BONE,45
69268,SULAWESI SELATAN,70639,MAROS,35
69268,SULAWESI SELATAN,70757,PANGKAJENE DAN KEPULAUAN,35
69268,SULAWESI SELATAN,70873,BARRU,25
69268,SULAWESI SELATAN,70935,SOPPENG,30
69268,SULAWESI SELATAN,71014,WAJO,40
69268,SULAWESI SELATAN,71209,SIDENRENG RAPPANG,35
69268,SULAWESI SELATAN,71327,PINRANG,40
69268,SULAWESI SELATAN,71437,ENREKANG,30
69268,SULAWESI SELATAN,71579,LUWU,35
69268,SULAWESI SELATAN,71828,TANA TORAJA,30
69268,SULAWESI SELATAN,72007,LUWU UTARA,35
69268,SULAWESI SELATAN,72190,LUWU TIMUR,30
69268,SULAWESI SELATAN,72309,KOTA MAKASSAR,50
69268,SULAWESI SELATAN,72467,KOTA PARE PARE,25
69268,SULAWESI SELATAN,72493,KOTA PALOPO,25
72551,SULAWESI TENGGARA,72552,KOLAKA,30
72551,SULAWESI TENGGARA,72786,KONAWE,30
72551,SULAWESI TENGGARA,73150,MUNA,30
72551,SULAWESI TENGGARA,73420,BUTON,25
72551,SULAWESI TENGGARA,73650,KONAWE SELATAN,35
72551,SULAWESI TENGGARA,74018,BOMBANA,25
72551,SULAWESI TENGGARA,74179,WAKATOBI,25
72551,SULAWESI TENGGARA,74288,KOLAKA UTARA,25
72551,SULAWESI TENGGARA,74437,KONAWE UTARA,20
72551,SULAWESI TENGGARA,74525,BUTON UTARA,20
72551,SULAWESI TENGGARA,74590,KOTA KENDARI,35
72551,SULAWESI TENGGARA,74665,KOTA BAU BAU,25
