jenisPemilihan,dapil_id,nama_dapil,id_provinsi,nama_provinsi,kode_kabkota,nama_kabkota
DPRD Provinsi,340,PAPUA  4,78203,PAPUA,,
DPRD Provinsi,341,PAPUA  5,78203,PAPUA,,
DPRD Provinsi,342,PAPUA  6,78203,PAPUA,,
DPRD Provinsi,343,PAPUA  7,78203,PAPUA,,
DPRD Provinsi,344,PAPUA BARAT  1,81877,PAPUA BARAT,,
DPRD Provinsi,345,PAPUA BARAT  2,81877,PAPUA BARAT,,
DPRD Provinsi,346,PAPUA BARAT  3,81877,PAPUA BARAT,,
DPRD Provinsi,347,PAPUA BARAT  4,81877,PAPUA BARAT,,
DPRD Provinsi,348,PAPUA BARAT  5,81877,PAPUA BARAT,,
DPRD Provinsi,349,KALIMANTAN UTARA  1,928068,KALIMANTAN UTARA,,
DPRD Provinsi,350,KALIMANTAN UTARA  2,928068,KALIMANTAN UTARA,,
DPRD Provinsi,351,KALIMANTAN UTARA  3,928068,KALIMANTAN UTARA,,
DPRD Provinsi,352,KALIMANTAN UTARA  4,928068,KALIMANTAN UTARA,,
DPRD Kab/Kota,2724,ACEH SELATAN 1,1,ACEH,2,ACEH SELATAN
