dapil_id,nama_dapil,kode_kabkota,nama_kabkota,id_provinsi,nama_provinsi
5602,KOTA PEMATANGSIANTAR 3,11916,KOTA PEMATANGSIANTAR,6728,SUMATERA UTARA
5295,KOTA SIBOLGA 1,11978,KOTA SIBOLGA,6728,SUMATERA UTARA
5296,KOTA SIBOLGA 2,11978,KOTA SIBOLGA,6728,SUMATERA UTARA
5301,KOTA TANJUNG BALAI 1,12000,KOTA TANJUNG BALAI,6728,SUMATERA UTARA
5302,KOTA TANJUNG BALAI 2,12000,KOTA TANJUNG BALAI,6728,SUMATERA UTARA
5303,KOTA TANJUNG BALAI 3,12000,KOTA TANJUNG BALAI,6728,SUMATERA UTARA
2990,KOTA BINJAI 1,12038,KOTA BINJAI,6728,SUMATERA UTARA
2991,KOTA BINJAI 2,12038,KOTA BINJAI,6728,SUMATERA UTARA
2992,KOTA BINJAI 3,12038,KOTA BINJAI,6728,SUMATERA UTARA
2993,KOTA BINJAI 4,12038,KOTA BINJAI,6728,SUMATERA UTARA
5603,KOTA TEBING TINGGI 1,12081,KOTA TEBING TINGGI,6728,SUMATERA UTARA
5604,KOTA TEBING TINGGI 2,12081,KOTA TEBING TINGGI,6728,SUMATERA UTARA
5605,KOTA TEBING TINGGI 3,12081,KOTA TEBING TINGGI,6728,SUMATERA UTARA
5317,KOTA PADANG SIDEMPUAN 1,12122,KOTA PADANG SIDIMPUAN,6728,SUMATERA UTARA
5318,KOTA PADANG SIDEMPUAN 2,12122,KOTA PADANG SIDIMPUAN,6728,SUMATERA UTARA
5319,KOTA PADANG SIDEMPUAN 3,12122,KOTA PADANG SIDIMPUAN,6728,SUMATERA UTARA
5606,PADANG LAWAS UTARA 1,12208,PADANG LAWAS UTARA,6728,SUMATERA UTARA
5607,PADANG LAWAS UTARA 2,12208,PADANG LAWAS UTARA,6728,SUMATERA UTARA
5608,PADANG LAWAS UTARA 3,12208,PADANG LAWAS UTARA,6728,SUMATERA UTARA
5609,PADANG LAWAS UTARA 4,12208,PADANG LAWAS UTARA,6728,SUMATERA UTARA
5610,PADANG LAWAS 1,12606,PADANG LAWAS,6728,SUMATERA UTARA
5611,PADANG LAWAS 2,12606,PADANG LAWAS,6728,SUMATERA UTARA
5612,PADANG LAWAS 3,12606,PADANG LAWAS,6728,SUMATERA UTARA
5613,PADANG LAWAS 4,12606,PADANG LAWAS,6728,SUMATERA UTARA
5614,PADANG LAWAS 5,12606,PADANG LAWAS,6728,SUMATERA UTARA
6683,PASAMAN 1,13509,PASAMAN,12920,SUMATERA BARAT
6684,PASAMAN 2,13509,PASAMAN,12920,SUMATERA BARAT
6685,PASAMAN 3,13509,PASAMAN,12920,SUMATERA BARAT
6686,PASAMAN 4,13509,PASAMAN,12920,SUMATERA BARAT
6687,PASAMAN 5,13509,PASAMAN,12920,SUMATERA BARAT
6328,PESISIR SELATAN 1,12921,PESISIR SELATAN,12920,SUMATERA BARAT
6329,PESISIR SELATAN 2,12921,PESISIR SELATAN,12920,SUMATERA BARAT
6330,PESISIR SELATAN 3,12921,PESISIR SELATAN,12920,SUMATERA BARAT
6331,PESISIR SELATAN 4,12921,PESISIR SELATAN,12920,SUMATERA BARAT
6332,PESISIR SELATAN 5,12921,PESISIR SELATAN,12920,SUMATERA BARAT
6356,SOLOK 1,13010,SOLOK,12920,SUMATERA BARAT
6357,SOLOK 2,13010,SOLOK,12920,SUMATERA BARAT
6358,SOLOK 3,13010,SOLOK,12920,SUMATERA BARAT
6359,SOLOK 4,13010,SOLOK,12920,SUMATERA BARAT
6385,SIJUNJUNG 1,13099,SIJUNJUNG,12920,SUMATERA BARAT
6386,SIJUNJUNG 2,13099,SIJUNJUNG,12920,SUMATERA BARAT
6387,SIJUNJUNG 3,13099,SIJUNJUNG,12920,SUMATERA BARAT
6688,TANAH DATAR 1,13163,TANAH DATAR,12920,SUMATERA BARAT
6689,TANAH DATAR 2,13163,TANAH DATAR,12920,SUMATERA BARAT
6690,TANAH DATAR 3,13163,TANAH DATAR,12920,SUMATERA BARAT
6691,TANAH DATAR 4,13163,TANAH DATAR,12920,SUMATERA BARAT
6679,PADANG PARIAMAN 1,13253,PADANG PARIAMAN,12920,SUMATERA BARAT
6680,PADANG PARIAMAN 2,13253,PADANG PARIAMAN,12920,SUMATERA BARAT
6681,PADANG PARIAMAN 3,13253,PADANG PARIAMAN,12920,SUMATERA BARAT
6682,PADANG PARIAMAN 4,13253,PADANG PARIAMAN,12920,SUMATERA BARAT
1594,AGAM 1,13317,AGAM,12920,SUMATERA BARAT
1595,AGAM 2,13317,AGAM,12920,SUMATERA BARAT
1596,AGAM 3,13317,AGAM,12920,SUMATERA BARAT
1597,AGAM 4,13317,AGAM,12920,SUMATERA BARAT
1598,AGAM 5,13317,AGAM,12920,SUMATERA BARAT
1599,AGAM 6,13317,AGAM,12920,SUMATERA BARAT
6433,LIMA PULUH KOTA 1,13416,LIMA PULUH KOTA,12920,SUMATERA BARAT
6434,LIMA PULUH KOTA 2,13416,LIMA PULUH KOTA,12920,SUMATERA BARAT
6435,LIMA PULUH KOTA 3,13416,LIMA PULUH KOTA,12920,SUMATERA BARAT
6436,LIMA PULUH KOTA 4,13416,LIMA PULUH KOTA,12920,SUMATERA BARAT
6437,LIMA PULUH KOTA 5,13416,LIMA PULUH KOTA,12920,SUMATERA BARAT
6297,KEPULAUAN MENTAWAI 1,13554,KEPULAUAN MENTAWAI,12920,SUMATERA BARAT
