kode_kabkota,nama_kabkota,id_provinsi,nama_provinsi
73650,KONAWE SELATAN,72551,SULAWESI TENGGARA
74018,BOMBANA,72551,SULAWESI TENGGARA
74179,WAKATOBI,72551,SULAWESI TENGGARA
74288,KOLAKA UTARA,72551,SULAWESI TENGGARA
74437,KONAWE UTARA,72551,SULAWESI TENGGARA
74525,BUTON UTARA,72551,SULAWESI TENGGARA
74590,KOTA KENDARI,72551,SULAWESI TENGGARA
74665,KOTA BAU BAU,72551,SULAWESI TENGGARA
928076,KOLAKA TIMUR,72551,SULAWESI TENGGARA
928077,KONAWE KEPULAUAN,72551,SULAWESI TENGGARA
928082,MUNA BARAT,72551,SULAWESI TENGGARA
928083,BUTON TENGAH,72551,SULAWESI TENGGARA
928084,BUTON SELATAN,72551,SULAWESI TENGGARA
74717,GORONTALO,74716,GORONTALO
74941,BOALEMO,74716,GORONTALO
75031,BONE BOLANGO,74716,GORONTALO
75183,PAHUWATO,74716,GORONTALO
75301,GORONTALO UTARA,74716,GORONTALO
75365,KOTA GORONTALO,74716,GORONTALO
75426,MAMUJU UTARA,75425,SULAWESI BARAT
75502,MAMUJU,75425,SULAWESI BARAT
75670,MAMASA,75425,SULAWESI BARAT
75863,POLEWALI MANDAR,75425,SULAWESI BARAT
76047,MAJENE,75425,SULAWESI BARAT
928078,MAMUJU TENGAH,75425,SULAWESI BARAT
76097,MALUKU BARAT DAYA,76096,MALUKU
76223,BURU SELATAN,76096,MALUKU
76284,MALUKU TENGAH,76096,MALUKU
76470,MALUKU TENGGARA,76096,MALUKU
76568,MALUKU TENGGARA BARAT,76096,MALUKU
76651,BURU,76096,MALUKU
76708,SERAM BAGIAN TIMUR,76096,MALUKU
76771,SERAM BAGIAN BARAT,76096,MALUKU
76868,KEPULAUAN ARU,76096,MALUKU
76995,KOTA AMBON,76096,MALUKU
77051,KOTA TUAL,76096,MALUKU
77086,PULAU MOROTAI,77085,MALUKU UTARA
77155,HALMAHERA BARAT,77085,MALUKU UTARA
77311,HALMAHERA TENGAH,77085,MALUKU UTARA
77364,HALMAHERA UTARA,77085,MALUKU UTARA
77578,HALMAHERA SELATAN,77085,MALUKU UTARA
77858,KEPULAUAN SULA,77085,MALUKU UTARA
77956,HALMAHERA TIMUR,77085,MALUKU UTARA
78040,KOTA TERNATE,77085,MALUKU UTARA
78122,KOTA TIDORE KEPULAUAN,77085,MALUKU UTARA
928079,PULAU TALIABU,77085,MALUKU UTARA
78204,INTAN JAYA,78203,PAPUA
78289,DEIYAI,78203,PAPUA
78324,TOLIKARA,78203,PAPUA
78862,WAROPEN,78203,PAPUA
78927,BOVEN DIGOEL,78203,PAPUA
79019,MAPPI,78203,PAPUA
79163,ASMAT,78203,PAPUA
79310,SUPIORI,78203,PAPUA
79354,MAMBERAMO RAYA,78203,PAPUA
79421,KOTA JAYAPURA,78203,PAPUA
79466,MAMBERAMO TENGAH,78203,PAPUA
79531,YALIMO,78203,PAPUA
79564,LANNY JAYA,78203,PAPUA
79629,NDUGA,78203,PAPUA
79663,PUNCAK,78203,PAPUA
79752,DOGIYAI,78203,PAPUA
79826,MERAUKE,78203,PAPUA
80015,JAYAWIJAYA,78203,PAPUA
80144,JAYAPURA,78203,PAPUA
80309,NABIRE,78203,PAPUA
80402,KEPULAUAN YAPEN,78203,PAPUA
80526,BIAK NUMFOR,78203,PAPUA
80724,PUNCAK JAYA,78203,PAPUA
80851,PANIAI,78203,PAPUA
81007,MIMIKA,78203,PAPUA
81104,SARMI,78203,PAPUA
81192,KEEROM,78203,PAPUA
81261,PEGUNUNGAN BINTANG,78203,PAPUA
81357,YAHUKIMO,78203,PAPUA
81878,MAYBRAT,81877,PAPUA BARAT
81992,TAMBRAUW,81877,PAPUA BARAT
82022,SORONG,81877,PAPUA BARAT
82154,MANOKWARI,81877,PAPUA BARAT
82605,FAKFAK,81877,PAPUA BARAT
82724,SORONG SELATAN,81877,PAPUA BARAT
82850,RAJA AMPAT,81877,PAPUA BARAT
82965,TELUK BINTUNI,81877,PAPUA BARAT
83107,TELUK WONDAMA,81877,PAPUA BARAT
83194,KAIMANA,81877,PAPUA BARAT
83289,KOTA SORONG,81877,PAPUA BARAT
928080,MANOKWARI SELATAN,81877,PAPUA BARAT
928081,PEGUNUNGAN ARFAK,81877,PAPUA BARAT
64617,BULUNGAN,928068,KALIMANTAN UTARA
64709,NUNUKAN,928068,KALIMANTAN UTARA
64949,MALINAU,928068,KALIMANTAN UTARA
65631,KOTA TARAKAN,928068,KALIMANTAN UTARA
65675,TANA TIDUNG,928068,KALIMANTAN UTARA
